Date,Open,High,Low,Close,Adj Close,Volume,portfolio value
2015-10-14,2003.6600341796875,2009.56005859375,1990.72998046875,1994.239990234375,1994.239990234375,3644590000,101.41852068215867
2015-10-15,1996.469970703125,2024.1500244140625,1996.469970703125,2023.8599853515625,2023.8599853515625,3746290000,100.48778462709811
2015-10-16,2024.3699951171875,2033.5400390625,2020.4599609375,2033.1099853515625,2033.1099853515625,3595430000,101.61220704643196
2015-10-19,2031.72998046875,2034.449951171875,2022.31005859375,2033.6600341796875,2033.6600341796875,3287320000,99.706457498435
2015-10-20,2033.1300048828125,2039.1199951171875,2026.6099853515625,2030.77001953125,2030.77001953125,3331500000,99.54201945866605
2015-10-21,2033.469970703125,2037.969970703125,2017.219970703125,2018.93994140625,2018.93994140625,3627790000,101.23630789823436
2015-10-22,2021.8800048828125,2055.199951171875,2021.8800048828125,2052.510009765625,2052.510009765625,4430850000,99.97866150718193
2015-10-23,2058.18994140625,2079.739990234375,2058.18994140625,2075.14990234375,2075.14990234375,4108460000,99.9245780692656
2015-10-26,2075.080078125,2075.139892578125,2066.530029296875,2071.179931640625,2071.179931640625,3385800000,101.74015969117048
2015-10-27,2068.75,2070.3701171875,2058.840087890625,2065.889892578125,2065.889892578125,4216880000,100.37020466466699
2015-10-28,2066.47998046875,2090.35009765625,2063.110107421875,2090.35009765625,2090.35009765625,4698110000,99.09876248693186
2015-10-29,2088.35009765625,2092.52001953125,2082.6298828125,2089.409912109375,2089.409912109375,4008940000,99.26928898060989
2015-10-30,2090.0,2094.320068359375,2079.340087890625,2079.360107421875,2079.360107421875,4256200000,99.7782519276899
2015-11-02,2080.760009765625,2106.199951171875,2080.760009765625,2104.050048828125,2104.050048828125,3760020000,101.36473062760406
2015-11-03,2102.6298828125,2116.47998046875,2097.510009765625,2109.7900390625,2109.7900390625,4272060000,99.67876886799733
2015-11-04,2110.60009765625,2114.590087890625,2096.97998046875,2102.31005859375,2102.31005859375,4078870000,100.44160771906414
2015-11-05,2101.679931640625,2108.780029296875,2090.409912109375,2099.929931640625,2099.929931640625,4051890000,98.89877356696893
2015-11-06,2098.60009765625,2101.909912109375,2083.739990234375,2099.199951171875,2099.199951171875,4369020000,97.79804283085824
2015-11-09,2096.56005859375,2096.56005859375,2068.239990234375,2078.580078125,2078.580078125,3882350000,99.14751191708591
2015-11-10,2077.18994140625,2083.669921875,2069.909912109375,2081.719970703125,2081.719970703125,3821440000,101.55243655081908
2015-11-11,2083.409912109375,2086.93994140625,2074.85009765625,2075.0,2075.0,3692410000,100.91768968271056
2015-11-12,2072.2900390625,2072.2900390625,2045.6600341796875,2045.969970703125,2045.969970703125,4016370000,99.63962155715146
2015-11-13,2044.6400146484375,2044.6400146484375,2022.02001953125,2023.0400390625,2023.0400390625,4278750000,99.1085684202562
2015-11-16,2022.0799560546875,2053.219970703125,2019.3900146484375,2053.18994140625,2053.18994140625,3741240000,101.50863850662967
2015-11-17,2053.669921875,2066.68994140625,2045.9000244140625,2050.43994140625,2050.43994140625,4427350000,100.79043156347394
2015-11-18,2051.989990234375,2085.31005859375,2051.989990234375,2083.580078125,2083.580078125,3926390000,99.79485848404454
2015-11-19,2083.699951171875,2086.739990234375,2078.760009765625,2081.239990234375,2081.239990234375,3628110000,97.74511514736662
2015-11-20,2082.820068359375,2097.06005859375,2082.820068359375,2089.169921875,2089.169921875,3929600000,99.40432324667636
2015-11-23,2089.409912109375,2095.610107421875,2081.389892578125,2086.590087890625,2086.590087890625,3587980000,99.76724243322674
2015-11-24,2084.419921875,2094.1201171875,2070.2900390625,2089.139892578125,2089.139892578125,3884930000,100.40029013157057
2015-11-25,2089.300048828125,2093.0,2086.300048828125,2088.8701171875,2088.8701171875,2852940000,99.19701551214402
2015-11-27,2088.820068359375,2093.2900390625,2084.1298828125,2090.110107421875,2090.110107421875,1466840000,98.80312937657901
2015-11-30,2090.949951171875,2093.81005859375,2080.409912109375,2080.409912109375,2080.409912109375,4275030000,99.64667451368852
2015-12-01,2082.929931640625,2103.3701171875,2082.929931640625,2102.6298828125,2102.6298828125,3712120000,101.15079908985602
2015-12-02,2101.7099609375,2104.27001953125,2077.110107421875,2079.510009765625,2079.510009765625,3950640000,99.40201792595818
2015-12-03,2080.7099609375,2085.0,2042.3499755859375,2049.6201171875,2049.6201171875,4306490000,99.73845725757225
2015-12-04,2051.239990234375,2093.840087890625,2051.239990234375,2091.68994140625,2091.68994140625,4214910000,100.86295157764228
2015-12-07,2090.419921875,2090.419921875,2066.780029296875,2077.070068359375,2077.070068359375,4043820000,98.4785962102787
2015-12-08,2073.389892578125,2073.85009765625,2052.320068359375,2063.590087890625,2063.590087890625,4173570000,99.98426644337056
2015-12-09,2061.169921875,2080.330078125,2036.530029296875,2047.6199951171875,2047.6199951171875,4385250000,99.1586354434225
2015-12-10,2047.9300537109375,2067.64990234375,2045.6700439453125,2052.22998046875,2052.22998046875,3715150000,99.49127879083318
2015-12-11,2047.27001953125,2047.27001953125,2008.800048828125,2012.3699951171875,2012.3699951171875,4301060000,100.36725948535319
2015-12-14,2013.3699951171875,2022.9200439453125,1993.260009765625,2021.93994140625,2021.93994140625,4612440000,100.95465958808325
2015-12-15,2025.550048828125,2053.8701171875,2025.550048828125,2043.4100341796875,2043.4100341796875,4353540000,99.07163836663703
2015-12-16,2046.5,2076.719970703125,2042.4300537109375,2073.070068359375,2073.070068359375,4635450000,100.26374900753947
2015-12-17,2073.760009765625,2076.3701171875,2041.6600341796875,2041.8900146484375,2041.8900146484375,4327390000,100.49624209944125
2015-12-18,2040.81005859375,2040.81005859375,2005.3299560546875,2005.550048828125,2005.550048828125,6683070000,101.45916323199263
2015-12-21,2010.27001953125,2022.9000244140625,2005.9300537109375,2021.1500244140625,2021.1500244140625,3760280000,98.61238432839357
2015-12-22,2023.1500244140625,2042.739990234375,2020.489990234375,2038.969970703125,2038.969970703125,3520860000,99.24943495588934
2015-12-23,2042.199951171875,2064.72998046875,2042.199951171875,2064.2900390625,2064.2900390625,3484090000,101.36390672801505
2015-12-24,2063.52001953125,2067.360107421875,2058.72998046875,2060.989990234375,2060.989990234375,1411860000,98.77817699985489
2015-12-28,2057.77001953125,2057.77001953125,2044.199951171875,2056.5,2056.5,2492510000,99.9141966383872
2015-12-29,2060.5400390625,2081.56005859375,2060.5400390625,2078.360107421875,2078.360107421875,2542000000,99.59018903445558
2015-12-30,2077.340087890625,2077.340087890625,2061.969970703125,2063.360107421875,2063.360107421875,2367430000,100.57609129285483
2015-12-31,2060.590087890625,2062.5400390625,2043.6199951171875,2043.93994140625,2043.93994140625,2655330000,100.3162477569052
2016-01-04,2038.199951171875,2038.199951171875,1989.6800537109375,2012.6600341796875,2012.6600341796875,4304880000,99.41072750207766
2016-01-05,2013.780029296875,2021.93994140625,2004.1700439453125,2016.7099609375,2016.7099609375,3706620000,99.67042631333167
2016-01-06,2011.7099609375,2011.7099609375,1979.050048828125,1990.260009765625,1990.260009765625,4336660000,98.93795889865598
2016-01-07,1985.3199462890625,1985.3199462890625,1938.8299560546875,1943.0899658203125,1943.0899658203125,5076590000,99.96825675290034
2016-01-08,1945.969970703125,1960.4000244140625,1918.4599609375,1922.030029296875,1922.030029296875,4664940000,101.04447113617053
2016-01-11,1926.1199951171875,1935.6500244140625,1901.0999755859375,1923.6700439453125,1923.6700439453125,4607290000,99.62724118952532
2016-01-12,1927.8299560546875,1947.3800048828125,1914.3499755859375,1938.6800537109375,1938.6800537109375,4887260000,102.27346273325863
2016-01-13,1940.3399658203125,1950.3299560546875,1886.4100341796875,1890.280029296875,1890.280029296875,5087030000,99.97209044529696
2016-01-14,1891.6800537109375,1934.469970703125,1878.9300537109375,1921.8399658203125,1921.8399658203125,5241110000,100.8344004087083
2016-01-15,1916.6800537109375,1916.6800537109375,1857.8299560546875,1880.3299560546875,1880.3299560546875,5468460000,99.01839494117426
2016-01-19,1888.6600341796875,1901.43994140625,1864.5999755859375,1881.3299560546875,1881.3299560546875,4928350000,99.3188709766154
2016-01-20,1876.1800537109375,1876.1800537109375,1812.2900390625,1859.3299560546875,1859.3299560546875,6416070000,99.97386483964358
2016-01-21,1861.4599609375,1889.8499755859375,1848.97998046875,1868.989990234375,1868.989990234375,5078810000,101.8417298900311
2016-01-22,1877.4000244140625,1908.8499755859375,1877.4000244140625,1906.9000244140625,1906.9000244140625,4901760000,99.80654803867611
2016-01-25,1906.280029296875,1906.280029296875,1875.969970703125,1877.0799560546875,1877.0799560546875,4401380000,100.85329024207883
2016-01-26,1878.7900390625,1906.72998046875,1878.7900390625,1903.6300048828125,1903.6300048828125,4357940000,99.84714706244002
2016-01-27,1902.52001953125,1916.989990234375,1872.699951171875,1882.949951171875,1882.949951171875,4754040000,100.0117255308061
2016-01-28,1885.219970703125,1902.9599609375,1873.6500244140625,1893.3599853515625,1893.3599853515625,4693010000,100.31783778351398
2016-01-29,1894.0,1940.239990234375,1894.0,1940.239990234375,1940.239990234375,5497570000,99.54425701697227
2016-02-01,1936.93994140625,1947.199951171875,1920.300048828125,1939.3800048828125,1939.3800048828125,4322530000,100.29983028797517
2016-02-02,1935.260009765625,1935.260009765625,1897.2900390625,1903.030029296875,1903.030029296875,4463190000,99.59309477555027
2016-02-03,1907.0699462890625,1918.010009765625,1872.22998046875,1912.530029296875,1912.530029296875,5172950000,101.21087460992126
2016-02-04,1911.6700439453125,1927.3499755859375,1900.52001953125,1915.449951171875,1915.449951171875,5193320000,101.07228590979379
2016-02-05,1913.0699462890625,1913.0699462890625,1872.6500244140625,1880.050048828125,1880.050048828125,4929940000,97.25540280771648
2016-02-08,1873.25,1873.25,1828.4599609375,1853.43994140625,1853.43994140625,5636460000,99.91779271426023
2016-02-09,1848.4599609375,1868.25,1834.93994140625,1852.2099609375,1852.2099609375,5183220000,99.7874720028411
2016-02-10,1857.0999755859375,1881.5999755859375,1850.3199462890625,1851.8599853515625,1851.8599853515625,4471170000,99.29122847690795
2016-02-11,1847.0,1847.0,1810.0999755859375,1829.0799560546875,1829.0799560546875,5500800000,99.2238976780506
2016-02-12,1833.4000244140625,1864.780029296875,1833.4000244140625,1864.780029296875,1864.780029296875,4696920000,100.08983058295912
2016-02-16,1871.43994140625,1895.77001953125,1871.43994140625,1895.5799560546875,1895.5799560546875,4570670000,98.98795373443518
2016-02-17,1898.800048828125,1930.6800537109375,1898.800048828125,1926.8199462890625,1926.8199462890625,5011540000,99.69932413491769
2016-02-18,1927.5699462890625,1930.0,1915.0899658203125,1917.8299560546875,1917.8299560546875,4436490000,101.22141499512703
2016-02-19,1916.739990234375,1918.780029296875,1902.1700439453125,1917.780029296875,1917.780029296875,4142850000,99.8045151325341
2016-02-22,1924.43994140625,1946.699951171875,1924.43994140625,1945.5,1945.5,4054710000,101.18450375252556
2016-02-23,1942.3800048828125,1942.3800048828125,1919.43994140625,1921.27001953125,1921.27001953125,3890650000,100.96887253942616
2016-02-24,1917.56005859375,1932.0799560546875,1891.0,1929.800048828125,1929.800048828125,4317250000,101.29401159637048
2016-02-25,1931.8699951171875,1951.8299560546875,1925.4100341796875,1951.699951171875,1951.699951171875,4118210000,98.39807156229415
2016-02-26,1954.949951171875,1962.9599609375,1945.780029296875,1948.050048828125,1948.050048828125,4348510000,100.6413970905904
2016-02-29,1947.1300048828125,1958.27001953125,1931.81005859375,1932.22998046875,1932.22998046875,4588180000,100.03679383475847
2016-03-01,1937.0899658203125,1978.3499755859375,1937.0899658203125,1978.3499755859375,1978.3499755859375,4819750000,99.74486094169673
2016-03-02,1976.5999755859375,1986.510009765625,1968.800048828125,1986.449951171875,1986.449951171875,4666610000,98.87827951984721
2016-03-03,1985.5999755859375,1993.68994140625,1977.3699951171875,1993.4000244140625,1993.4000244140625,5081700000,99.3108844877657
2016-03-04,1994.010009765625,2009.1300048828125,1986.77001953125,1999.989990234375,1999.989990234375,6049930000,101.11066711617977
2016-03-07,1996.1099853515625,2006.1199951171875,1989.3800048828125,2001.760009765625,2001.760009765625,4968180000,98.796538413061
2016-03-08,1996.8800048828125,1996.8800048828125,1977.4300537109375,1979.260009765625,1979.260009765625,4641650000,99.34740883303415
2016-03-09,1981.43994140625,1992.68994140625,1979.8399658203125,1989.260009765625,1989.260009765625,4038120000,100.30241563169963
2016-03-10,1990.969970703125,2005.0799560546875,1969.25,1989.5699462890625,1989.5699462890625,4376790000,99.36878210248393
2016-03-11,1994.7099609375,2022.3699951171875,1994.7099609375,2022.18994140625,2022.18994140625,4078620000,98.01106952061934
2016-03-14,2019.27001953125,2024.5699462890625,2012.050048828125,2019.6400146484375,2019.6400146484375,3487850000,97.76095405684543
2016-03-15,2015.27001953125,2015.93994140625,2005.22998046875,2015.9300537109375,2015.9300537109375,3560280000,100.56299657707788
2016-03-16,2014.239990234375,2032.02001953125,2010.0400390625,2027.219970703125,2027.219970703125,4057020000,100.71087078734527
2016-03-17,2026.9000244140625,2046.239990234375,2022.1600341796875,2040.5899658203125,2040.5899658203125,4530480000,100.48844479183197
2016-03-18,2041.1600341796875,2052.360107421875,2041.1600341796875,2049.580078125,2049.580078125,6503140000,98.70256430806879
2016-03-21,2047.8800048828125,2053.909912109375,2043.1400146484375,2051.60009765625,2051.60009765625,3376600000,99.24914170670165
2016-03-22,2048.639892578125,2056.60009765625,2040.5699462890625,2049.800048828125,2049.800048828125,3418460000,97.03291652111119
2016-03-23,2048.550048828125,2048.550048828125,2034.8599853515625,2036.7099609375,2036.7099609375,3639510000,99.05943662510538
2016-03-24,2032.47998046875,2036.0400390625,2022.489990234375,2035.93994140625,2035.93994140625,3407720000,100.35584371747399
2016-03-28,2037.8900146484375,2042.6700439453125,2031.9599609375,2037.050048828125,2037.050048828125,2809090000,98.18982487613596
2016-03-29,2035.75,2055.909912109375,2028.31005859375,2055.010009765625,2055.010009765625,3822330000,99.83917348005333
2016-03-30,2058.27001953125,2072.2099609375,2058.27001953125,2063.949951171875,2063.949951171875,3590310000,100.59300530533045
2016-03-31,2063.77001953125,2067.919921875,2057.4599609375,2059.739990234375,2059.739990234375,3715280000,100.3287545628293
2016-04-01,2056.6201171875,2075.070068359375,2043.97998046875,2072.780029296875,2072.780029296875,3749990000,99.68336263081402
2016-04-04,2073.18994140625,2074.02001953125,2062.570068359375,2066.1298828125,2066.1298828125,3485710000,99.42494326957767
2016-04-05,2062.5,2062.5,2042.56005859375,2045.1700439453125,2045.1700439453125,4154920000,100.43695855722956
2016-04-06,2045.56005859375,2067.330078125,2043.0899658203125,2066.659912109375,2066.659912109375,3750800000,99.52365775719613
2016-04-07,2063.010009765625,2063.010009765625,2033.800048828125,2041.9100341796875,2041.9100341796875,3801250000,100.22057980988909
2016-04-08,2045.5400390625,2060.6298828125,2041.68994140625,2047.5999755859375,2047.5999755859375,3359530000,97.68523607441321
2016-04-11,2050.22998046875,2062.929931640625,2041.8800048828125,2041.989990234375,2041.989990234375,3567840000,100.6570162914905
2016-04-12,2043.719970703125,2065.050048828125,2039.739990234375,2061.719970703125,2061.719970703125,4239740000,100.72775140435856
